"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021年06週(02月08日～02月14日)","2021年02月17日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","56","0.01","852","0.27","638","0.20","2304","0.73","8311","2.63","363","0.12","108","0.03","43","0.01","1117","0.35","79","0.03","112","0.04","4","0.01","98","0.14","5","0.01","9","0.02","9","0.02","-","-","-","-"
"北海道","5","0.02","4","0.03","40","0.29","240","1.71","217","1.55","21","0.15","-","-","-","-","32","0.23","-","-","3","0.02","-","-","3","0.10","-","-","-","-","-","-","-","-","-","-"
"青森県","-","-","1","0.02","12","0.29","25","0.60","107","2.55","6","0.14","-","-","-","-","13","0.31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"岩手県","-","-","42","1.05","5","0.13","67","1.68","115","2.88","5","0.13","-","-","-","-","19","0.48","-","-","1","0.03","-","-","4","0.29","1","0.05","1","0.05","-","-","-","-","-","-"
"宮城県","-","-","5","0.09","10","0.17","19","0.33","111","1.91","19","0.33","2","0.03","1","0.02","28","0.48","-","-","4","0.07","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"秋田県","-","-","2","0.06","4","0.12","17","0.50","59","1.74","4","0.12","-","-","-","-","8","0.24","-","-","1","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"山形県","15","0.33","-","-","8","0.28","38","1.31","97","3.34","2","0.07","1","0.03","-","-","15","0.52","1","0.03","2","0.07","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"福島県","3","0.04","10","0.20","10","0.20","67","1.34","105","2.10","5","0.10","-","-","-","-","29","0.58","-","-","-","-","-","-","5","0.38","-","-","-","-","-","-","-","-","-","-"
"茨城県","-","-","-","-","5","0.07","34","0.45","79","1.05","10","0.13","2","0.03","-","-","6","0.08","7","0.09","1","0.01","-","-","3","0.18","-","-","-","-","-","-","-","-","-","-"
"栃木県","-","-","3","0.06","1","0.02","17","0.35","97","2.02","3","0.06","4","0.08","2","0.04","20","0.42","-","-","-","-","-","-","3","0.25","-","-","-","-","-","-","-","-","-","-"
"群馬県","-","-","-","-","5","0.09","17","0.31","108","2.00","7","0.13","1","0.02","1","0.02","23","0.43","-","-","1","0.02","-","-","6","0.40","-","-","-","-","-","-","-","-","-","-"
"埼玉県","2","0.01","-","-","37","0.23","83","0.52","331","2.07","13","0.08","4","0.03","5","0.03","66","0.41","3","0.02","12","0.08","1","0.03","5","0.13","-","-","-","-","-","-","-","-","-","-"
"千葉県","4","0.02","-","-","16","0.12","71","0.54","231","1.75","26","0.20","1","0.01","1","0.01","52","0.39","-","-","9","0.07","-","-","6","0.18","-","-","-","-","1","0.11","-","-","-","-"
"東京都","-","-","4","0.02","31","0.12","73","0.29","687","2.68","20","0.08","4","0.02","5","0.02","104","0.41","-","-","6","0.02","-","-","4","0.11","1","0.04","-","-","-","-","-","-","-","-"
"神奈川県","2","0.01","1","0.00","17","0.08","76","0.34","455","2.02","30","0.13","2","0.01","5","0.02","88","0.39","3","0.01","13","0.06","-","-","11","0.22","-","-","-","-","-","-","-","-","-","-"
"新潟県","-","-","-","-","8","0.14","124","2.21","139","2.48","6","0.11","1","0.02","1","0.02","24","0.43","-","-","2","0.04","2","0.20","1","0.10","-","-","-","-","1","0.08","-","-","-","-"
"富山県","1","0.02","2","0.07","12","0.41","46","1.59","57","1.97","-","-","2","0.07","1","0.03","12","0.41","1","0.03","-","-","-","-","-","-","-","-","-","-","1","0.20","-","-","-","-"
"石川県","-","-","-","-","20","0.69","35","1.21","107","3.69","7","0.24","-","-","-","-","18","0.62","-","-","3","0.10","-","-","2","0.29","-","-","-","-","-","-","-","-","-","-"
"福井県","-","-","1","0.04","8","0.35","21","0.91","100","4.35","3","0.13","-","-","1","0.04","4","0.17","-","-","2","0.09","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"山梨県","-","-","-","-","1","0.04","17","0.71","45","1.88","1","0.04","-","-","2","0.08","7","0.29","-","-","-","-","-","-","1","0.11","-","-","-","-","1","0.10","-","-","-","-"
"長野県","-","-","-","-","7","0.13","25","0.46","109","2.02","3","0.06","-","-","1","0.02","15","0.28","2","0.04","2","0.04","1","0.09","-","-","-","-","2","0.18","-","-","-","-","-","-"
"岐阜県","2","0.02","-","-","5","0.09","9","0.17","38","0.72","2","0.04","-","-","1","0.02","13","0.25","-","-","1","0.02","-","-","2","0.18","-","-","-","-","-","-","-","-","-","-"
"静岡県","-","-","3","0.03","19","0.21","39","0.44","213","2.39","11","0.12","1","0.01","1","0.01","33","0.37","-","-","5","0.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"愛知県","1","0.01","18","0.10","38","0.21","70","0.38","325","1.79","11","0.06","4","0.02","2","0.01","43","0.24","-","-","4","0.02","-","-","-","-","-","-","1","0.07","-","-","-","-","-","-"
"三重県","9","0.13","-","-","3","0.07","15","0.33","160","3.56","5","0.11","-","-","-","-","16","0.36","-","-","1","0.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"滋賀県","1","0.02","-","-","4","0.11","16","0.44","48","1.33","2","0.06","1","0.03","-","-","12","0.33","3","0.08","2","0.06","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-"
"京都府","4","0.03","3","0.04","9","0.12","65","0.84","203","2.64","6","0.08","2","0.03","-","-","22","0.29","2","0.03","2","0.03","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"大阪府","2","0.01","105","0.53","30","0.15","116","0.59","615","3.12","28","0.14","6","0.03","3","0.02","66","0.34","7","0.04","2","0.01","-","-","2","0.04","-","-","-","-","-","-","-","-","-","-"
"兵庫県","-","-","24","0.19","19","0.15","63","0.49","445","3.48","9","0.07","1","0.01","2","0.02","45","0.35","-","-","4","0.03","-","-","8","0.23","-","-","1","0.07","-","-","-","-","-","-"
"奈良県","-","-","1","0.03","6","0.18","12","0.35","58","1.71","3","0.09","1","0.03","-","-","6","0.18","-","-","3","0.09","-","-","1","0.10","-","-","-","-","-","-","-","-","-","-"
"和歌山県","-","-","-","-","3","0.10","13","0.43","143","4.77","4","0.13","-","-","-","-","5","0.17","-","-","2","0.07","-","-","-","-","1","0.09","-","-","-","-","-","-","-","-"
"鳥取県","-","-","1","0.05","3","0.16","36","1.89","33","1.74","5","0.26","1","0.05","-","-","4","0.21","-","-","1","0.05","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"島根県","1","0.03","-","-","5","0.22","9","0.39","131","5.70","4","0.17","6","0.26","-","-","11","0.48","2","0.09","-","-","-","-","-","-","-","-","1","0.13","-","-","-","-","-","-"
"岡山県","-","-","-","-","10","0.19","18","0.33","185","3.43","4","0.07","2","0.04","1","0.02","15","0.28","1","0.02","1","0.02","-","-","-","-","1","0.20","-","-","-","-","-","-","-","-"
"広島県","-","-","5","0.07","9","0.13","40","0.56","348","4.83","9","0.13","12","0.17","1","0.01","19","0.26","3","0.04","1","0.01","-","-","5","0.26","-","-","-","-","2","0.10","-","-","-","-"
"山口県","1","0.01","7","0.15","7","0.15","42","0.91","156","3.39","7","0.15","-","-","-","-","20","0.43","-","-","1","0.02","-","-","2","0.22","-","-","-","-","-","-","-","-","-","-"
"徳島県","-","-","-","-","4","0.17","5","0.22","55","2.39","2","0.09","-","-","-","-","7","0.30","6","0.26","-","-","-","-","1","0.25","-","-","-","-","-","-","-","-","-","-"
"香川県","-","-","-","-","12","0.43","17","0.61","111","3.96","1","0.04","1","0.04","1","0.04","12","0.43","7","0.25","4","0.14","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"愛媛県","2","0.03","-","-","8","0.22","16","0.44","153","4.25","-","-","1","0.03","-","-","15","0.42","8","0.22","1","0.03","-","-","10","1.25","-","-","1","0.17","-","-","-","-","-","-"
"高知県","-","-","-","-","1","0.04","10","0.36","32","1.14","4","0.14","1","0.04","2","0.07","6","0.21","4","0.14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"福岡県","-","-","202","1.68","69","0.58","334","2.78","416","3.47","12","0.10","2","0.02","2","0.02","58","0.48","10","0.08","6","0.05","-","-","4","0.15","-","-","-","-","-","-","-","-","-","-"
"佐賀県","-","-","32","1.39","9","0.39","38","1.65","29","1.26","4","0.17","7","0.30","-","-","18","0.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
