"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025年08週(02月17日～02月23日)","2025年02月26日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","10866","2.21","3775","1.21","909","0.29","7616","2.44","32220","10.32","833","0.27","174","0.06","1744","0.56","623","0.20","17","0.01","100","0.03","20","0.03","565","0.82","11","0.02","15","0.03","178","0.37","3","0.01","52","0.11","24343","4.95"
"北海道","828","3.73","199","1.46","51","0.38","573","4.21","434","3.19","64","0.47","14","0.10","99","0.73","14","0.10","-","-","2","0.01","1","0.03","5","0.17","-","-","-","-","13","0.57","-","-","5","0.22","1312","5.91"
"青森県","158","2.72","16","0.43","11","0.30","45","1.22","238","6.43","13","0.35","5","0.14","91","2.46","8","0.22","-","-","1","0.03","-","-","1","0.10","-","-","-","-","6","1.00","-","-","-","-","338","5.83"
"岩手県","270","4.35","13","0.33","13","0.33","182","4.67","370","9.49","8","0.21","10","0.26","31","0.79","4","0.10","-","-","-","-","-","-","12","0.86","-","-","-","-","7","0.37","-","-","1","0.05","287","4.63"
"宮城県","316","3.47","67","1.22","28","0.51","170","3.09","376","6.84","17","0.31","2","0.04","59","1.07","14","0.25","-","-","1","0.02","-","-","6","0.50","-","-","-","-","2","0.20","-","-","-","-","491","5.40"
"秋田県","78","1.50","6","0.18","3","0.09","70","2.06","161","4.74","2","0.06","-","-","2","0.06","4","0.12","-","-","1","0.03","1","0.14","2","0.29","-","-","-","-","2","0.25","-","-","1","0.13","220","4.23"
"山形県","188","4.59","14","0.54","6","0.23","97","3.73","116","4.46","8","0.31","12","0.46","32","1.23","9","0.35","-","-","3","0.12","-","-","2","0.25","-","-","-","-","4","0.40","-","-","2","0.20","104","2.54"
"福島県","77","0.95","29","0.60","26","0.54","120","2.50","272","5.67","22","0.46","-","-","81","1.69","10","0.21","-","-","-","-","-","-","43","3.31","-","-","-","-","1","0.14","-","-","1","0.14","495","6.11"
"茨城県","194","1.62","62","0.83","13","0.17","335","4.47","762","10.16","22","0.29","7","0.09","48","0.64","12","0.16","-","-","2","0.03","-","-","53","3.12","-","-","-","-","6","0.46","-","-","-","-","875","7.29"
"栃木県","344","4.53","53","1.10","15","0.31","128","2.67","433","9.02","2","0.04","1","0.02","43","0.90","6","0.13","-","-","2","0.04","-","-","13","1.08","-","-","-","-","-","-","-","-","-","-","498","6.55"
"群馬県","264","3.11","71","1.34","17","0.32","57","1.08","588","11.09","11","0.21","3","0.06","23","0.43","17","0.32","-","-","1","0.02","-","-","6","0.43","1","0.11","-","-","3","0.33","-","-","-","-","443","5.21"
"埼玉県","810","3.10","178","1.09","47","0.29","477","2.91","1886","11.50","78","0.48","4","0.02","196","1.20","36","0.22","2","0.01","13","0.08","6","0.14","24","0.57","-","-","1","0.08","3","0.25","-","-","3","0.25","1752","6.71"
"千葉県","624","3.10","82","0.66","37","0.30","415","3.32","1655","13.24","22","0.18","7","0.06","169","1.35","22","0.18","-","-","5","0.04","-","-","22","0.65","1","0.11","-","-","1","0.11","-","-","-","-","1240","6.17"
"東京都","655","1.57","179","0.68","35","0.13","643","2.44","3514","13.36","93","0.35","9","0.03","254","0.97","45","0.17","1","0.00","8","0.03","-","-","20","0.51","-","-","-","-","8","0.33","1","0.04","9","0.38","1314","3.14"
"神奈川県","593","1.68","163","0.72","19","0.08","377","1.68","2418","10.75","104","0.46","4","0.02","158","0.70","37","0.16","-","-","9","0.04","1","0.02","40","0.83","1","0.08","1","0.08","4","0.33","-","-","-","-","1562","4.41"
"新潟県","522","6.07","47","0.85","24","0.44","272","4.95","332","6.04","22","0.40","4","0.07","46","0.84","10","0.18","-","-","10","0.18","2","0.20","7","0.70","-","-","-","-","5","0.38","-","-","-","-","417","4.85"
"富山県","114","2.38","27","0.93","17","0.59","150","5.17","311","10.72","6","0.21","-","-","22","0.76","4","0.14","-","-","1","0.03","4","0.57","1","0.14","-","-","-","-","3","0.60","-","-","-","-","162","3.38"
"石川県","119","2.48","16","0.55","9","0.31","77","2.66","351","12.10","8","0.28","1","0.03","9","0.31","8","0.28","-","-","-","-","-","-","7","1.00","-","-","-","-","4","0.80","-","-","-","-","198","4.13"
"福井県","54","1.38","52","2.08","12","0.48","44","1.76","321","12.84","16","0.64","5","0.20","5","0.20","3","0.12","-","-","2","0.08","-","-","-","-","-","-","2","0.33","2","0.33","-","-","-","-","95","2.44"
"山梨県","23","0.56","9","0.38","3","0.13","8","0.33","249","10.38","6","0.25","-","-","9","0.38","3","0.13","-","-","-","-","-","-","21","2.33","-","-","-","-","2","0.20","-","-","-","-","191","4.66"
"長野県","291","3.31","51","0.94","9","0.17","117","2.17","423","7.83","26","0.48","4","0.07","41","0.76","4","0.07","1","0.02","1","0.02","-","-","35","3.50","-","-","-","-","5","0.42","-","-","-","-","572","6.50"
"岐阜県","155","1.78","76","1.43","7","0.13","64","1.21","294","5.55","2","0.04","2","0.04","9","0.17","10","0.19","-","-","-","-","-","-","-","-","-","-","-","-","1","0.20","-","-","-","-","523","6.01"
"静岡県","315","2.27","65","0.73","11","0.12","90","1.01","772","8.67","15","0.17","2","0.02","26","0.29","22","0.25","1","0.01","1","0.01","-","-","8","0.36","1","0.10","1","0.10","7","0.70","-","-","-","-","895","6.44"
"愛知県","308","1.58","149","0.82","23","0.13","186","1.02","1246","6.85","7","0.04","-","-","21","0.12","24","0.13","-","-","3","0.02","1","0.03","5","0.14","1","0.07","-","-","10","0.67","-","-","-","-","1349","6.92"
"三重県","98","1.36","116","2.58","11","0.24","112","2.49","380","8.44","9","0.20","-","-","8","0.18","9","0.20","-","-","3","0.07","-","-","2","0.17","1","0.11","-","-","5","0.56","-","-","-","-","358","4.97"
"滋賀県","55","0.92","40","1.11","7","0.19","53","1.47","222","6.17","7","0.19","1","0.03","7","0.19","6","0.17","-","-","2","0.06","-","-","2","0.22","-","-","-","-","2","0.29","-","-","-","-","240","4.00"
"京都府","195","1.61","73","1.01","35","0.49","119","1.65","488","6.78","13","0.18","2","0.03","34","0.47","14","0.19","-","-","-","-","-","-","3","0.18","-","-","-","-","6","0.86","1","0.14","-","-","432","3.57"
"大阪府","515","1.71","356","1.84","48","0.25","233","1.20","2098","10.81","40","0.21","10","0.05","30","0.15","34","0.18","3","0.02","5","0.03","-","-","21","0.40","1","0.06","-","-","5","0.28","1","0.06","5","0.28","938","3.11"
"兵庫県","275","1.39","295","2.30","34","0.27","170","1.33","1426","11.14","15","0.12","5","0.04","24","0.19","34","0.27","1","0.01","6","0.05","1","0.03","20","0.57","-","-","2","0.14","6","0.43","-","-","4","0.29","715","3.61"
"奈良県","92","1.67","93","2.74","9","0.26","41","1.21","353","10.38","3","0.09","11","0.32","7","0.21","5","0.15","-","-","-","-","-","-","3","0.30","-","-","-","-","1","0.17","-","-","-","-","286","5.20"
