"date","pref","category","value","year","week_label_clean"
"2012-09-16","全国","インフルエンザ",0.23,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","咽頭結膜熱",0.38,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","Ａ群溶血性レンサ球菌咽頭炎",0.89,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","感染性胃腸炎",3.22,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","水痘",0.42,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","手足口病",0.98,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","伝染性紅斑",0.07,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","突発性発しん",0.71,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","百日咳",0.03,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","ヘルパンギーナ",0.88,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","流行性耳下腺炎",0.4,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","急性出血性結膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","流行性角結膜炎",0.6,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","細菌性髄膜炎",0.01,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","無菌性髄膜炎",0.08,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","マイコプラズマ肺炎",1.1,2012,"9月10日～9月16日（2012年）"
"2012-09-16","全国","クラミジア肺炎",0.03,2012,"9月10日～9月16日（2012年）"
"2012-09-23","全国","インフルエンザ",0.18,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","咽頭結膜熱",0.25,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","Ａ群溶血性レンサ球菌咽頭炎",0.7,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","感染性胃腸炎",2.72,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","水痘",0.42,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","手足口病",0.89,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","伝染性紅斑",0.05,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","突発性発しん",0.54,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","百日咳",0.02,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","ヘルパンギーナ",0.57,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","流行性耳下腺炎",0.32,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","急性出血性結膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","流行性角結膜炎",0.51,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","細菌性髄膜炎",0.02,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","無菌性髄膜炎",0.06,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","マイコプラズマ肺炎",1.05,2012,"9月17日～9月23日（2012年）"
"2012-09-23","全国","クラミジア肺炎",0.03,2012,"9月17日～9月23日（2012年）"
"2012-09-30","全国","インフルエンザ",0.14,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","咽頭結膜熱",0.25,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","Ａ群溶血性レンサ球菌咽頭炎",0.94,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","感染性胃腸炎",3.08,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","水痘",0.45,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","手足口病",0.95,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","伝染性紅斑",0.05,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","突発性発しん",0.65,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","百日咳",0.03,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","ヘルパンギーナ",0.51,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","流行性耳下腺炎",0.38,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","急性出血性結膜炎",0.01,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","流行性角結膜炎",0.61,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","細菌性髄膜炎",0.01,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","無菌性髄膜炎",0.06,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","マイコプラズマ肺炎",1.18,2012,"9月24日～9月30日（2012年）"
"2012-09-30","全国","クラミジア肺炎",0.03,2012,"9月24日～9月30日（2012年）"
"2012-10-07","全国","インフルエンザ",0.09,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","咽頭結膜熱",0.2,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","Ａ群溶血性レンサ球菌咽頭炎",1.01,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","感染性胃腸炎",3.16,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","水痘",0.46,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","手足口病",0.86,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","伝染性紅斑",0.05,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","突発性発しん",0.59,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","百日咳",0.02,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","ヘルパンギーナ",0.37,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","流行性耳下腺炎",0.38,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","急性出血性結膜炎",0.02,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","流行性角結膜炎",0.63,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","細菌性髄膜炎",0.01,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","無菌性髄膜炎",0.08,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","マイコプラズマ肺炎",1.26,2012,"10月1日～10月7日（2012年）"
"2012-10-07","全国","クラミジア肺炎",0.03,2012,"10月1日～10月7日（2012年）"
"2012-10-14","全国","インフルエンザ",0.06,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","咽頭結膜熱",0.15,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","Ａ群溶血性レンサ球菌咽頭炎",0.87,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","感染性胃腸炎",2.97,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","水痘",0.53,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","手足口病",0.69,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","伝染性紅斑",0.04,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","突発性発しん",0.54,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","百日咳",0.02,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","ヘルパンギーナ",0.22,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","流行性耳下腺炎",0.33,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","急性出血性結膜炎",0.01,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","流行性角結膜炎",0.54,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","細菌性髄膜炎",0.02,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","無菌性髄膜炎",0.02,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","マイコプラズマ肺炎",1.08,2012,"10月8日～10月14日（2012年）"
"2012-10-14","全国","クラミジア肺炎",0.05,2012,"10月8日～10月14日（2012年）"
"2012-10-21","全国","インフルエンザ",0.05,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","咽頭結膜熱",0.18,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","Ａ群溶血性レンサ球菌咽頭炎",1.13,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","感染性胃腸炎",3.74,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","水痘",0.5,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","手足口病",0.64,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","伝染性紅斑",0.04,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","突発性発しん",0.59,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","百日咳",0.02,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","ヘルパンギーナ",0.15,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","流行性耳下腺炎",0.4,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","急性出血性結膜炎",0.02,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","流行性角結膜炎",0.52,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","細菌性髄膜炎",0.01,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","無菌性髄膜炎",0.03,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","マイコプラズマ肺炎",1.28,2012,"10月15日～10月21日（2012年）"
"2012-10-21","全国","クラミジア肺炎",0.03,2012,"10月15日～10月21日（2012年）"
"2012-10-28","全国","インフルエンザ",0.06,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","咽頭結膜熱",0.2,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","Ａ群溶血性レンサ球菌咽頭炎",1.22,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","感染性胃腸炎",4.64,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","水痘",0.72,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","手足口病",0.63,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","伝染性紅斑",0.04,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","突発性発しん",0.61,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","百日咳",0.03,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","ヘルパンギーナ",0.13,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","流行性耳下腺炎",0.32,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","急性出血性結膜炎",0.01,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","流行性角結膜炎",0.51,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","細菌性髄膜炎",0.03,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","無菌性髄膜炎",0.03,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","マイコプラズマ肺炎",1.28,2012,"10月22日～10月28日（2012年）"
"2012-10-28","全国","クラミジア肺炎",0.05,2012,"10月22日～10月28日（2012年）"
"2012-11-04","全国","インフルエンザ",0.07,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","咽頭結膜熱",0.19,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","Ａ群溶血性レンサ球菌咽頭炎",1.23,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","感染性胃腸炎",5.58,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","水痘",0.79,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","手足口病",0.55,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","伝染性紅斑",0.04,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","突発性発しん",0.54,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","百日咳",0.02,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","ヘルパンギーナ",0.1,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","流行性耳下腺炎",0.34,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","急性出血性結膜炎",0,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","流行性角結膜炎",0.4,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","細菌性髄膜炎",0.01,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","無菌性髄膜炎",0.04,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","マイコプラズマ肺炎",1.31,2012,"10月29日～11月4日（2012年）"
"2012-11-04","全国","クラミジア肺炎",0.05,2012,"10月29日～11月4日（2012年）"
"2012-11-11","全国","インフルエンザ",0.11,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","咽頭結膜熱",0.27,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","Ａ群溶血性レンサ球菌咽頭炎",1.66,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","感染性胃腸炎",8.75,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","水痘",1.09,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","手足口病",0.59,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","伝染性紅斑",0.05,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","突発性発しん",0.6,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","百日咳",0.02,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","ヘルパンギーナ",0.08,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","流行性耳下腺炎",0.4,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","急性出血性結膜炎",0.01,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","流行性角結膜炎",0.57,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","細菌性髄膜炎",0.03,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","無菌性髄膜炎",0.03,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","マイコプラズマ肺炎",1.26,2012,"11月5日～11月11日（2012年）"
"2012-11-11","全国","クラミジア肺炎",0.04,2012,"11月5日～11月11日（2012年）"
"2012-11-18","全国","インフルエンザ",0.14,2012,"11月12日～11月18日（2012年）"
"2012-11-18","全国","咽頭結膜熱",0.3,2012,"11月12日～11月18日（2012年）"
"2012-11-18","全国","Ａ群溶血性レンサ球菌咽頭炎",1.66,2012,"11月12日～11月18日（2012年）"
