date,year_week
2025-1-5,2025-01
2025-1-12,2025-02
2025-1-19,2025-03
2025-1-26,2025-04
2025-2-2,2025-05
2025-2-9,2025-06
2025-2-16,2025-07
2025-2-23,2025-08
2025-3-2,2025-09
2025-3-9,2025-10
2025-3-16,2025-11
2025-3-23,2025-12
2025-3-30,2025-13
2025-4-6,2025-14
2025-4-13,2025-15
2025-4-20,2025-16
2025-4-27,2025-17
2025-5-4,2025-18
2025-5-11,2025-19
2025-5-18,2025-20
2025-5-25,2025-21
2025-6-1,2025-22
2025-6-8,2025-23
2025-6-15,2025-24
2025-6-22,2025-25
2025-6-29,2025-26
2025-7-6,2025-27
2025-7-13,2025-28
2025-7-20,2025-29
2025-7-27,2025-30
2025-8-3,2025-31
2025-8-10,2025-32
2025-8-17,2025-33
2025-8-24,2025-34
2025-8-31,2025-35
2025-9-7,2025-36
2025-9-14,2025-37
2025-9-21,2025-38
2025-9-28,2025-39
2025-10-5,2025-40
2025-10-12,2025-41
2025-10-19,2025-42
2025-10-26,2025-43
2025-11-2,2025-44
2025-11-9,2025-45
2025-11-16,2025-46
2025-11-23,2025-47
2025-11-30,2025-48
2025-12-7,2025-49
2025-12-14,2025-50
2025-12-21,2025-51
2025-12-28,2025-52
2026-1-4,2026-01
2026-1-11,2026-02
2026-1-18,2026-03
2026-1-25,2026-04
2026-2-1,2026-05
2026-2-8,2026-06
2026-2-15,2026-07
2026-2-22,2026-08
2026-3-1,2026-09
2026-3-8,2026-10
2026-3-15,2026-11
2026-3-22,2026-12
2026-3-29,2026-13
2026-4-5,2026-14
2026-4-12,2026-15
2026-4-19,2026-16
2026-4-26,2026-17
2026-5-3,2026-18
2026-5-10,2026-19
2026-5-17,2026-20
2026-5-24,2026-21
2026-5-31,2026-22
2026-6-7,2026-23
2026-6-14,2026-24
2026-6-21,2026-25
2026-6-28,2026-26
2026-7-5,2026-27
2026-7-12,2026-28
2026-7-19,2026-29
2026-7-26,2026-30
2026-8-2,2026-31
2026-8-9,2026-32
2026-8-16,2026-33
2026-8-23,2026-34
2026-8-30,2026-35
2026-9-6,2026-36
2026-9-13,2026-37
2026-9-20,2026-38
2026-9-27,2026-39
